Time,xAcc,yAcc,zAcc,latitude,longitude,alt,xSpeed,ySpeed,zSpeed
87295900,0,0,-0.18,4713.44,849.06,0.5,-10000,-10000,-14.5
87307859,0.02,-0.01,-0.22,4713.44,849.06,0.49,-10000,-10000,-14.5
87318560,0.01,0,-0.19,4713.44,849.06,0.5,-10000,-10000,-14.5
87333437,0,0,-0.16,4713.44,849.06,0.5,-10000,-10000,-14.5
87344229,0.03,0,-0.19,4713.44,849.06,0.49,-10000,-10000,-14.5
87356463,0,0,-0.19,4713.44,849.06,0.48,-10000,-10000,-14.5
87366466,0,0,-0.17,4713.44,849.06,0.5,-10000,-10000,-14.5
87376470,0.01,-0.01,-0.19,4713.44,849.06,0.5,-10000,-10000,-14.5
87390081,0.01,-0.02,-0.17,4713.44,849.06,0.5,-10000,-10000,-14.5
87402624,0.01,0,-0.19,4713.44,849.06,0.49,-10000,-10000,-14.5
87418436,0.01,-0.01,-0.18,4713.44,849.06,0.5,-10000,-10000,-14.5
87434297,0,0,-0.22,4713.44,849.06,0.5,-10000,-10000,-14.5
87449270,0,0,-0.16,4713.44,849.06,0.51,-10000,-10000,-14.5
87465722,0,0.01,-0.19,4713.44,849.06,0.51,-10000,-10000,-14.5
87478874,0,-0.02,-0.18,4713.44,849.06,0.51,-10000,-10000,-14.5
87488878,0,0,-0.16,4713.44,849.06,0.49,-10000,-10000,-14.5
87502601,0.02,0,-0.22,4713.44,849.06,0.51,-10000,-10000,-14.5
87514124,0,0,-0.19,4713.44,849.06,0.5,-10000,-10000,-14.5
87529146,0.01,0,-0.19,4713.44,849.06,0.5,-10000,-10000,-14.5
87539150,0,0,-0.21,4713.44,849.06,0.5,-10000,-10000,-14.5
87555340,0,-0.01,-0.21,4713.44,849.06,0.49,-10000,-10000,-14.5
87565568,0.01,-0.02,-0.2,4713.44,849.06,0.48,-10000,-10000,-14.5
87575572,0,-0.01,-0.19,4713.44,849.06,0.5,-10000,-10000,-14.5
87585883,0,0,-0.21,4713.44,849.06,0.5,-10000,-10000,-14.5
87595886,0,0,-0.16,4713.44,849.06,0.49,-10000,-10000,-14.5
87610150,0.01,-0.02,-0.21,4713.44,849.06,0.49,-10000,-10000,-14.5
87627113,0.02,0,-0.18,4713.44,849.06,0.48,-10000,-10000,-14.5
87638111,0,0.01,-0.21,4713.44,849.06,0.48,-10000,-10000,-14.5
